Id,Label,Type,Parent
0,arn,folder,-1
1,github.com/aws/aws-sdk-go/aws/arn/arn.go,file,0
262150,SetMaxItems,function,262135
262146,SetMarker,function,262135
262154,SetRoleName,function,262135
17,ARN,class,1
18,Parse,function,1
262166,GoString,function,262162
262162,ListInstanceProfilesForRoleOutput,class,255576
23,String,function,17
262163,String,function,262162
262173,SetIsTruncated,function,262162
26,github.com/aws/aws-sdk-go/aws/arn/arn_test.go,file,0
27,TestParseARN,function,26
262169,SetInstanceProfiles,function,262162
32,awserr,folder,-1
33,github.com/aws/aws-sdk-go/aws/awserr/error.go,file,32
262177,SetMarker,function,262162
38,Error,class,33
262189,GoString,function,262185
43,BatchError,class,33
262185,ListInstanceProfilesInput,class,255576
262186,String,function,262185
46,BatchedErrors,class,33
47,New,function,33
262196,SetMarker,function,262185
262192,Validate,function,262185
53,NewBatchError,function,33
262204,SetPathPrefix,function,262185
262200,SetMaxItems,function,262185
61,RequestFailure,class,33
62,NewRequestFailure,function,33
262212,ListInstanceProfilesOutput,class,255576
262213,String,function,262212
67,github.com/aws/aws-sdk-go/aws/awserr/types.go,file,32
68,SprintError,function,67
262223,SetIsTruncated,function,262212
262216,GoString,function,262212
78,baseError,class,67
79,newBaseError,function,67
262219,SetInstanceProfiles,function,262212
85,Error,function,78
262227,SetMarker,function,262212
262236,String,function,262235
89,String,function,78
262239,GoString,function,262235
92,Code,function,78
95,Message,function,78
262235,ListMFADevicesInput,class,255576
98,OrigErr,function,78
262246,SetMarker,function,262235
262242,Validate,function,262235
103,OrigErrs,function,78
262254,SetUserName,function,262235
106,awsError,class,67
262250,SetMaxItems,function,262235
110,requestError,class,67
111,newRequestError,function,67
262262,ListMFADevicesOutput,class,255576
262263,String,function,262262
116,Error,function,110
120,String,function,110
262269,SetIsTruncated,function,262262
123,StatusCode,function,110
126,RequestID,function,110
262266,GoString,function,262262
129,OrigErrs,function,110
262277,SetMarker,function,262262
262273,SetMFADevices,function,262262
134,errorList,class,67
135,Error,function,134
262286,GoString,function,262282
141,awsutil,folder,-1
262282,ListOpenIDConnectProvidersInput,class,255576
142,github.com/aws/aws-sdk-go/aws/awsutil/copy.go,file,141
143,Copy,function,142
262283,String,function,262282
262292,String,function,262291
147,CopyOf,function,142
262295,GoString,function,262291
151,rcopy,function,142
262291,ListOpenIDConnectProvidersOutput,class,255576
262298,SetOpenIDConnectProviderList,function,262291
262309,ListPoliciesInput,class,255576
262310,String,function,262309
167,github.com/aws/aws-sdk-go/aws/awsutil/copy_test.go,file,141
168,ExampleCopy,function,167
262316,Validate,function,262309
171,Foo,class,-1
262313,GoString,function,262309
176,TestCopy1,function,167
262324,SetMaxItems,function,262309
262320,SetMarker,function,262309
182,Bar,class,-1
262332,SetPathPrefix,function,262309
262328,SetOnlyAttached,function,262309
188,Foo,class,-1
262340,SetScope,function,262309
262336,SetPolicyUsageFilter,function,262309
262348,ListPoliciesOutput,class,255576
262349,String,function,262348
262359,SetMarker,function,262348
262352,GoString,function,262348
262355,SetIsTruncated,function,262348
262363,SetPolicies,function,262348
262372,String,function,262371
262375,GoString,function,262371
228,TestCopyNestedWithUnexported,function,167
262371,ListPolicyVersionsInput,class,255576
232,Bar,class,-1
262382,SetMarker,function,262371
235,Foo,class,-1
262378,Validate,function,262371
262390,SetPolicyArn,function,262371
246,TestCopyIgnoreNilMembers,function,167
262386,SetMaxItems,function,262371
262398,ListPolicyVersionsOutput,class,255576
262399,String,function,262398
251,Foo,class,-1
262405,SetIsTruncated,function,262398
262402,GoString,function,262398
265,TestCopyPrimitive,function,167
262413,SetVersions,function,262398
262409,SetMarker,function,262398
271,TestCopyNil,function,167
262421,ListRolePoliciesInput,class,255576
262422,String,function,262421
276,TestCopyReader,function,167
262428,Validate,function,262421
262425,GoString,function,262421
286,TestCopyDifferentStructs,function,167
262436,SetMaxItems,function,262421
262432,SetMarker,function,262421
295,SrcFoo,class,-1
262440,SetRoleName,function,262421
303,DstFoo,class,-1
262452,GoString,function,262448
262455,SetIsTruncated,function,262448
262448,ListRolePoliciesOutput,class,255576
262449,String,function,262448
262463,SetPolicyNames,function,262448
262459,SetMarker,function,262448
262471,ListRolesInput,class,255576
262478,Validate,function,262471
331,ExampleCopyOf,function,167
262472,String,function,262471
334,Foo,class,-1
262475,GoString,function,262471
262486,SetMaxItems,function,262471
340,github.com/aws/aws-sdk-go/aws/awsutil/equal.go,file,141
341,DeepEqual,function,340
262482,SetMarker,function,262471
349,github.com/aws/aws-sdk-go/aws/awsutil/equal_test.go,file,141
350,TestDeepEqual,function,349
262490,SetPathPrefix,function,262471
262502,GoString,function,262498
354,github.com/aws/aws-sdk-go/aws/awsutil/path_value.go,file,141
356,rValuesAtPath,function,354
262498,ListRolesOutput,class,255576
262499,String,function,262498
262509,SetMarker,function,262498
262505,SetIsTruncated,function,262498
262518,ListSAMLProvidersInput,class,255576
262519,String,function,262518
262513,SetRoles,function,262498
379,ValuesAtPath,function,354
262527,ListSAMLProvidersOutput,class,255576
262522,GoString,function,262518
262534,SetSAMLProviderList,function,262527
262528,String,function,262527
391,SetValueAtPath,function,354
262531,GoString,function,262527
262542,ListSSHPublicKeysInput,class,255576
262543,String,function,262542
396,setValue,function,354
400,github.com/aws/aws-sdk-go/aws/awsutil/path_value_test.go,file,141
262549,Validate,function,262542
262546,GoString,function,262542
407,Struct,class,400
262557,SetMaxItems,function,262542
410,TestValueAtPathSuccess,function,400
262553,SetMarker,function,262542
262561,SetUserName,function,262542
262573,GoString,function,262569
262569,ListSSHPublicKeysOutput,class,255576
262570,String,function,262569
262580,SetMarker,function,262569
262576,SetIsTruncated,function,262569
262584,SetSSHPublicKeys,function,262569
262596,GoString,function,262592
262599,Validate,function,262592
262592,ListServerCertificatesInput,class,255576
262593,String,function,262592
458,github.com/aws/aws-sdk-go/aws/awsutil/prettify.go,file,141
459,Prettify,function,458
262607,SetMaxItems,function,262592
463,prettify,function,458
262603,SetMarker,function,262592
466,github.com/aws/aws-sdk-go/aws/awsutil/string_value.go,file,141
467,StringValue,function,466
471,stringValue,function,466
262611,SetPathPrefix,function,262592
262620,String,function,262619
474,client,folder,-1
262623,GoString,function,262619
475,github.com/aws/aws-sdk-go/aws/client/client.go,file,474
262619,ListServerCertificatesOutput,class,255576
262630,SetMarker,function,262619
482,Config,class,475
484,ConfigProvider,class,475
262626,SetIsTruncated,function,262619
486,ConfigNoResolveEndpointProvider,class,475
491,Client,class,475
492,New,function,475
262634,SetServerCertificateMetadataList,function,262619
