Id,Label,Type,Parent
12288,Uint64,function,12274
0,beego,folder,-1
1,github.com/astaxie/beego/admin.go,file,0
4097,github.com/astaxie/beego/logs/alils/log_store.go,file,3648
4,init,function,1
12292,Int63,function,12274
5,adminIndex,function,1
12295,Uint32,function,12274
8,qpsIndex,function,1
4104,LogStore,class,4097
12298,Int31,function,12274
4106,Shard,class,4097
4107,ListShards,function,4104
12,listConf,function,1
12301,Intn,function,12274
12305,Int63n,function,12274
18,github.com/astaxie/beego/adminui.go,file,0
12311,Int31n,function,12274
4120,PutLogs,function,4104
12317,Float64,function,12274
29,github.com/astaxie/beego/admin_test.go,file,0
30,TestList_01,function,29
8224,QueryRows,function,8133
12320,github.com/astaxie/beego/utils/captcha/siprng_test.go,file,12032
12321,TestSiphash,function,12320
34,oldMap,function,29
4130,github.com/astaxie/beego/logs/alils/machine_group.go,file,3648
12325,BenchmarkSiprng,function,12320
4133,MachineGroupAttribute,class,4130
37,github.com/astaxie/beego/app.go,file,0
39,init,function,37
12329,github.com/astaxie/beego/utils/debug.go,file,12023
42,App,class,37
43,NewApp,function,37
4142,MachineGroup,class,4130
47,MiddleWare,class,37
48,Run,function,42
4146,Machine,class,4130
12338,pointerInfo,class,12329
12339,Display,function,12329
12341,GetDisplayString,function,12329
4149,MachineList,class,4130
4150,ListMachines,function,4142
12344,display,function,12329
12355,fomateinfo,function,12329
4164,GetAppliedConfigs,function,4142
69,Router,function,37
4168,github.com/astaxie/beego/logs/alils/request.go,file,3648
4169,request,function,4168
74,UnregisterFixedRoute,function,37
12363,isSimpleType,function,12329
8269,readValues,function,8133
80,findAndRemoveTree,function,37
84,findAndRemoveSingleTree,function,37
12372,printKeyValue,function,12329
86,Include,function,37
4184,github.com/astaxie/beego/logs/alils/signature.go,file,3648
89,RESTRouter,function,37
4186,nowRFC1123,function,4184
4188,signature,function,4184
93,AutoRouter,function,37
96,AutoPrefix,function,37
100,Get,function,37
104,Post,function,37
108,Delete,function,37
8300,queryRowsTo,function,8133
112,Put,function,37
116,Head,function,37
12405,PrintPointerInfo,function,12329
4215,github.com/astaxie/beego/logs/color.go,file,3612
120,Options,function,37
4218,ansiColorWriter,class,4215
4219,Write,function,4218
124,Patch,function,37
128,Any,function,37
4224,github.com/astaxie/beego/logs/color_windows.go,file,3612
4225,csiState,class,4224
4226,parseResult,class,4224
132,Handler,function,37
12420,Stack,function,12329
137,InsertFilter,function,37
8330,Values,function,8133
12430,function,function,12329
4238,ansiColorWriter,class,4224
143,github.com/astaxie/beego/beego.go,file,0
8336,ValuesList,function,8133
147,hookfunc,class,143
12436,github.com/astaxie/beego/utils/debug_test.go,file,12023
149,AddAPPStartHook,function,143
8342,ValuesFlat,function,8133
151,Run,function,143
12439,mytype,class,12436
12440,TestPrint,function,12436
154,RunWithMiddleWares,function,143
12442,TestPrintPoint,function,12436
8348,RowsToMap,function,8133
158,initBeforeHTTPRun,function,143
12446,TestPrintString,function,12436
160,TestBeegoInit,function,143
12449,github.com/astaxie/beego/utils/file.go,file,12023
12450,SelfPath,function,12449
163,InitBeegoBeforeTest,function,143
8355,RowsToStruct,function,8133
12453,SelfDir,function,12449
166,cache,folder,-1
12455,FileExists,function,12449
167,github.com/astaxie/beego/cache/cache.go,file,166
8362,Prepare,function,8133
12458,SearchFile,function,12449
8366,newRawSet,function,8109
12463,GrepFile,function,12449
177,Cache,class,167
178,Instance,class,167
180,Register,function,167
8372,github.com/astaxie/beego/orm/orm_test.go,file,5615
183,NewCache,function,167
8377,argAny,class,8372
8378,Get,function,8377
190,github.com/astaxie/beego/cache/cache_test.go,file,166
191,TestCache,function,190
8383,ValuesCompare,function,8372
12479,github.com/astaxie/beego/utils/file_test.go,file,12023
12481,TestSelfPath,function,12479
12484,TestSelfDir,function,12479
196,github.com/astaxie/beego/cache/conv.go,file,166
197,GetString,function,196
12487,TestFileExists,function,12479
4295,drawType,class,4224
200,GetInt,function,196
12489,TestSearchFile,function,12479
8394,AssertIs,function,8372
4300,winColor,class,4224
205,GetInt64,function,196
12493,TestGrepFile,function,12479
8400,AssertNot,function,8372
210,GetFloat64,function,196
4306,init,function,4224
12498,github.com/astaxie/beego/utils/mail.go,file,12023
8406,getCaller,function,8372
4310,coord,class,4224
215,GetBool,function,196
4315,smallRect,class,4224
220,github.com/astaxie/beego/cache/conv_test.go,file,166
221,TestGetString,function,220
4321,consoleScreenBufferInfo,class,4224
4322,getConsoleScreenBufferInfo,function,4224
228,TestGetInt,function,220
12517,Email,class,12498
4327,setConsoleTextAttribute,function,4224
8425,throwFail,function,8372
12521,Attachment,class,12498
234,TestGetInt64,function,220
12522,NewEMail,function,12498
8431,throwFailNow,function,8372
12527,Bytes,function,12517
241,TestGetFloat64,function,220
4338,textAttributes,class,4224
4339,convertTextAttr,function,4224
8437,TestGetDB,function,8372
249,TestGetBool,function,220
8441,TestSyncDb,function,8372
4348,convertWinAttr,function,4224
8444,TestRegisterModels,function,8372
253,byteArrayEquals,function,220
8446,TestModelSyntax,function,8372
12543,AttachFile,function,12517
4352,changeColor,function,4224
257,github.com/astaxie/beego/cache/file.go,file,166
261,FileCacheItem,class,257
8454,github.com/astaxie/beego/orm/qb.go,file,5615
4362,parseEscapeSequence,function,4224
12554,Attach,function,12517
4366,flushBuffer,function,4218
270,FileCache,class,257
271,NewFileCache,function,257
273,StartAndGC,function,270
4370,resetBuffer,function,4218
12565,Send,function,12517
278,Init,function,270
4374,flushTo,function,4218
281,getCacheFileName,function,270
12573,quotePrintEncode,function,12498
4384,isParameterChar,function,4224
8480,QueryBuilder,class,8454
289,Get,function,270
8481,NewQueryBuilder,function,8454
4387,Write,function,4218
8485,github.com/astaxie/beego/orm/qb_mysql.go,file,5615
12582,isPrintable,function,12498
296,GetMulti,function,270
8488,MySQLQueryBuilder,class,8485
8489,Select,function,8488
12585,qpEscape,function,12498
301,Put,function,270
8493,ForUpdate,function,8488
12589,headerToBytes,function,12498
8496,From,function,8488
12593,base64Wrap,function,12498
4401,github.com/astaxie/beego/logs/color_windows_test.go,file,3612
4403,ChangeColor,function,4401
8500,InnerJoin,function,8488
4405,ResetColor,function,4401
310,Delete,function,270
4406,TestWritePlanText,function,4401
12599,qEncode,function,12498
8504,LeftJoin,function,8488
12603,needsEncoding,function,12498
316,Incr,function,270
4412,TestWriteParseText,function,4401
8508,RightJoin,function,8488
12606,encodeWord,function,12498
8512,On,function,8488
322,Decr,function,270
8516,Where,function,8488
328,IsExist,function,270
8520,And,function,8488
12616,getBuffer,function,12498
12618,putBuffer,function,12498
8524,Or,function,8488
12620,github.com/astaxie/beego/utils/mail_test.go,file,12023
333,ClearAll,function,270
12621,TestMail,function,12620
4431,screenNotFoundError,class,4401
336,exists,function,257
4432,writeAnsiColor,function,4401
8528,In,function,8488
12625,pagination,folder,-1
12626,github.com/astaxie/beego/utils/pagination/controller.go,file,12625
12627,SetPaginator,function,12626
340,FileGetContents,function,257
8532,OrderBy,function,8488
344,FilePutContents,function,257
8536,Asc,function,8488
12632,github.com/astaxie/beego/utils/pagination/doc.go,file,12625
12633,github.com/astaxie/beego/utils/pagination/paginator.go,file,12625
8539,Desc,function,8488
348,GobEncode,function,257
4444,testParam,class,4401
4445,TestWriteAnsiColorText,function,4401
8542,Limit,function,8488
12641,Paginator,class,12633
8546,Offset,function,8488
12642,PageNums,function,12641
355,GobDecode,function,257
8550,GroupBy,function,8488
12646,Nums,function,12641
361,init,function,257
12649,SetNums,function,12641
8554,Having,function,8488
362,memcache,folder,-1
363,github.com/astaxie/beego/cache/memcache/memcache.go,file,362
12652,Page,function,12641
8558,Update,function,8488
366,Cache,class,363
367,NewMemCache,function,363
4463,TestIgnoreUnknownSequences,function,4401
12655,Pages,function,12641
369,Get,function,366
8562,Set,function,8488
8566,Delete,function,8488
4470,github.com/astaxie/beego/logs/conn.go,file,3612
12663,PageLink,function,12641
376,GetMulti,function,366
8570,InsertInto,function,8488
12669,PageLinkPrev,function,12641
4478,connWriter,class,4470
4479,NewConn,function,4470
8576,Values,function,8488
12672,PageLinkNext,function,12641
4482,Init,function,4478
387,Put,function,366
12675,PageLinkFirst,function,12641
8581,Subquery,function,8488
4486,WriteMsg,function,4478
12678,PageLinkLast,function,12641
12681,HasPrev,function,12641
8586,String,function,8488
12684,HasNext,function,12641
4493,Flush,function,4478
8589,github.com/astaxie/beego/orm/qb_tidb.go,file,5615
399,Delete,function,366
4495,Destroy,function,4478
12687,IsActive,function,12641
8591,TiDBQueryBuilder,class,8589
8592,Select,function,8591
4497,connect,function,4478
12691,Offset,function,12641
404,Incr,function,366
8596,ForUpdate,function,8591
12694,HasPages,function,12641
8599,From,function,8591
4504,needToConnectOnMsg,function,4478
409,Decr,function,366
12697,NewPaginator,function,12633
4507,init,function,4470
8603,InnerJoin,function,8591
4508,github.com/astaxie/beego/logs/conn_test.go,file,3612
4509,TestConn,function,4508
414,IsExist,function,366
8607,LeftJoin,function,8591
12703,github.com/astaxie/beego/utils/pagination/utils.go,file,12625
12704,toInt64,function,12703
4513,github.com/astaxie/beego/logs/console.go,file,3612
4514,brush,class,4513
419,ClearAll,function,366
4515,newBrush,function,4513
8611,RightJoin,function,8591
12709,github.com/astaxie/beego/utils/rand.go,file,12023
423,StartAndGC,function,366
8615,On,function,8591
12711,RandomCreateBytes,function,12709
8619,Where,function,8591
4524,consoleWriter,class,4513
429,connectInit,function,366
4525,NewConsole,function,4513
8623,And,function,8591
12719,github.com/astaxie/beego/utils/rand_test.go,file,12023
432,init,function,363
4528,Init,function,4524
12720,TestRand_01,function,12719
433,github.com/astaxie/beego/cache/memcache/memcache_test.go,file,362
434,TestMemcacheCache,function,433
8627,Or,function,8591
12724,github.com/astaxie/beego/utils/safemap.go,file,12023
4533,WriteMsg,function,4524
8631,In,function,8591
12727,BeeMap,class,12724
439,github.com/astaxie/beego/cache/memory.go,file,166
12728,NewBeeMap,function,12724
12730,Get,function,12727
4539,Destroy,function,4524
8635,OrderBy,function,8591
444,MemoryItem,class,439
445,isExpire,function,444
4541,Flush,function,4524
4543,init,function,4513
8639,Asc,function,8591
12736,Set,function,12727
4544,github.com/astaxie/beego/logs/console_test.go,file,3612
4545,testConsoleCalls,function,4544
8642,Desc,function,8591
4547,TestConsole,function,4544
452,MemoryCache,class,439
453,NewMemoryCache,function,439
8645,Limit,function,8591
12743,Check,function,12727
456,Get,function,452
4552,es,folder,-1
8649,Offset,function,8591
4553,github.com/astaxie/beego/logs/es/es.go,file,4552
4554,NewES,function,4553
12747,Delete,function,12727
8653,GroupBy,function,8591
462,GetMulti,function,452
12750,Items,function,12727
4560,esLogger,class,4553
4561,Init,function,4560
8657,Having,function,8591
12754,Count,function,12727
467,Put,function,452
8661,Update,function,8591
12757,github.com/astaxie/beego/utils/safemap_test.go,file,12023
12759,TestNewBeeMap,function,12757
473,Delete,function,452
8665,Set,function,8591
12761,TestSet,function,12757
4572,WriteMsg,function,4560
12764,TestReSet,function,12757
477,Incr,function,452
8669,Delete,function,8591
8673,InsertInto,function,8591
12770,TestCheck,function,12757
483,Decr,function,452
4580,Destroy,function,4560
12773,TestGet,function,12757
4582,Flush,function,4560
8679,Values,function,8591
4584,init,function,4553
12776,TestDelete,function,12757
489,IsExist,function,452
4585,github.com/astaxie/beego/logs/file.go,file,3612
12779,TestItems,function,12757
8684,Subquery,function,8591
495,ClearAll,function,452
12784,TestCount,function,12757
8689,String,function,8591
498,StartAndGC,function,452
12787,github.com/astaxie/beego/utils/slice.go,file,12023
12788,reducetype,class,12787
8692,github.com/astaxie/beego/orm/types.go,file,5615
12789,filtertype,class,12787
12790,InSlice,function,12787
8695,Driver,class,8692
504,vaccuum,function,452
12794,InSliceIface,function,12787
507,expiredKeys,function,452
4603,fileLogWriter,class,4585
4604,newFileWriter,function,4585
8700,Fielder,class,8692
510,clearItems,function,452
12798,SliceRandList,function,12787
4607,Init,function,4603
513,init,function,439
514,redis,folder,-1
515,github.com/astaxie/beego/cache/redis/redis.go,file,514
4612,startLogger,function,4603
12805,SliceMerge,function,12787
4617,needRotate,function,4603
12809,SliceReduce,function,12787
522,Cache,class,515
523,NewRedisCache,function,515
525,do,function,522
12813,SliceRand,function,12787
4622,WriteMsg,function,4603
8718,Ormer,class,8692
12817,SliceSum,function,12787
8721,Inserter,class,8692
532,associate,function,522
12820,SliceFilter,function,12787
4631,createLogFile,function,4603
536,Get,function,522
12824,SliceDiff,function,12787
12828,SliceIntersect,function,12787
542,GetMulti,function,522
4639,initFd,function,4603
12832,SliceChunk,function,12787
550,Put,function,522
12838,SliceRange,function,12787
4647,dailyRotate,function,4603
8744,QuerySeter,class,8692
556,Delete,function,522
12844,SlicePad,function,12787
8750,QueryM2Mer,class,8692
560,IsExist,function,522
4656,lines,function,4603
8753,RawPreparer,class,8692
12850,SliceUnique,function,12787
12853,SliceShuffle,function,12787
566,Incr,function,522
570,Decr,function,522
4667,doRotate,function,4603
12859,github.com/astaxie/beego/utils/slice_test.go,file,12023
12860,TestInSlice,function,12859
8764,RawSeter,class,8692
574,ClearAll,function,522
4671,github.com/astaxie/beego/logs/file_test.go,file,3612
12863,github.com/astaxie/beego/utils/utils.go,file,12023
4672,TestFilePerm,function,4671
12864,GetGOPATHs,function,12863
8769,stmtQuerier,class,8692
12867,defaultGOPATH,function,12863
580,StartAndGC,function,522
4676,github.com/astaxie/beego/logs/jianliao.go,file,3612
8774,dbQuerier,class,8692
12871,validation,folder,-1
8776,txer,class,8692
12872,github.com/astaxie/beego/validation/util.go,file,12871
586,connectInit,function,522
4683,JLWriter,class,4676
8779,txEnder,class,8692
4684,newJLWriter,function,4676
589,init,function,515
4686,Init,function,4683
12878,init,function,12872
590,github.com/astaxie/beego/cache/redis/redis_test.go,file,514
591,TestRedisCache,function,590
4690,WriteMsg,function,4683
12883,CustomFunc,class,12872
12884,AddCustomFunc,function,12872
596,ssdb,folder,-1
597,github.com/astaxie/beego/cache/ssdb/ssdb.go,file,596
4694,Flush,function,4683
4696,Destroy,function,4683
600,Cache,class,597
601,NewSsdbCache,function,597
4698,init,function,4676
12890,ValidFunc,class,12872
603,Get,function,600
12891,Funcs,class,12872
4699,github.com/astaxie/beego/logs/log.go,file,3612
12892,Call,function,12891
610,GetMulti,function,600
12900,isStruct,function,12872
12903,isStructPtr,function,12872
12906,getValidFuncs,function,12872
8813,dbBaser,class,8692
8814,github.com/astaxie/beego/orm/utils.go,file,5615
623,DelMulti,function,600
8815,StrTo,class,8814
8816,Set,function,8815
12913,getRegFuncs,function,12872
4721,newLoggerFunc,class,4699
8819,Clear,function,8815
628,Put,function,600
8821,Exist,function,8815
4726,Logger,class,4699
8824,Bool,function,8815
4729,Register,function,4699
12923,github.com/astaxie/beego/validation/util_test.go,file,12871
8828,Float32,function,8815
640,Delete,function,600
12929,user,class,12923
8834,Float64,function,8815
12930,TestGetValidFuncs,function,12923
645,Incr,function,600
8838,Int,function,8815
4743,BeeLogger,class,4699
12937,TestCall,function,12923
650,Decr,function,600
4747,nameLogger,class,4699
8844,Int8,function,8815
655,IsExist,function,600
4751,logMsg,class,4699
4753,NewLogger,function,4699
12945,github.com/astaxie/beego/validation/validation.go,file,12871
8850,Int16,function,8815
12947,ValidFormer,class,12945
4757,Async,function,4743
662,ClearAll,function,600
8856,Int32,function,8815
4761,setLogger,function,4743
12955,Error,class,12945
12956,String,function,12955
8862,Int64,function,8815
12959,Error,function,12955
674,Scan,function,600
4771,SetLogger,function,4743
12964,Result,class,12945
12965,Key,function,12964
8871,Uint,function,8815
4776,DelLogger,function,4743
12969,Message,function,12964
684,StartAndGC,function,600
