Id,Label,Type,Parent
81921,Setregid,function,81226
0,dep,folder,-1
16385,valueToTreeSlice,function,16339
1,github.com/golang/dep/analyzer.go,file,0
2,Analyzer,class,1
3,HasDepMetadata,function,2
81925,Setresgid,function,81226
10,DeriveManifestAndLock,function,2
16395,valueToOtherSlice,function,16339
81930,Setresuid,function,81226
81935,Setreuid,function,81226
81939,Shutdown,function,81226
20,Info,function,2
16405,valueToToml,function,16339
81943,Splice,function,81226
23,github.com/golang/dep/analyzer_notwindows_test.go,file,0
24,makeUnreadable,function,23
16411,Unmarshal,function,16717
29,closer,class,23
30,Close,function,29
114719,Stat_t,class,114651
16416,Marshal,function,16717
33,github.com/golang/dep/analyzer_test.go,file,0
34,TestAnalyzerDeriveManifestAndLock,function,33
81955,SyncFileRange,function,81226
16422,Unmarshal,function,16297
81961,Truncate,function,81226
47,TestAnalyzerDeriveManifestAndLockDoesNotExist,function,33
81966,accept,function,81226
16431,Decoder,class,16297
16432,NewDecoder,function,16297
16435,Decode,function,16431
81973,accept4,function,81226
55,TestAnalyzerDeriveManifestAndLockCannotOpen,function,33
114742,Statfs_t,class,114651
16440,unmarshal,function,16431
81981,bind,function,81226
16447,valueFromTree,function,16431
114750,Flock_t,class,114651
65,TestAnalyzerDeriveManifestAndLockInvalidManifest,function,33
81986,connect,function,81226
114756,Dirent,class,114651
81991,getgroups,function,81226
114758,Fsid,class,114651
73,TestAnalyzerInfo,function,33
81997,setgroups,function,81226
77,github.com/golang/dep/analyzer_windows_test.go,file,0
78,makeUnreadable,function,77
82001,getsockopt,function,81226
16466,valueFromTreeSlice,function,16431
114770,RawSockaddrInet4,class,114651
114777,RawSockaddrInet6,class,114651
82008,setsockopt,function,81226
90,main,folder,-1
91,github.com/golang/dep/cmd/dep/check.go,file,90
16476,valueFromOtherSlice,function,16431
114781,RawSockaddrUnix,class,114651
82015,socket,function,81226
97,checkCommand,class,91
98,Name,function,97
101,Args,function,97
16486,valueFromToml,function,16431
82022,socketpair,function,81226
114790,RawSockaddrDatalink,class,114651
104,ShortHelp,function,97
107,LongHelp,function,97
114794,RawSockaddr,class,114651
114797,RawSockaddrAny,class,114651
82028,getpeername,function,81226
110,Hidden,function,97
114798,_Socklen,class,114651
82033,getsockname,function,81226
114801,Linger,class,114651
113,Register,function,97
16497,unwrapPointer,function,16431
116,Run,function,97
114804,Iovec,class,114651
114807,IPMreq,class,114651
82038,recvfrom,function,81226
16506,tomlOptions,function,16297
114811,IPMreqn,class,114651
16510,github.com/golang/dep/vendor/github.com/pelletier/go-toml/parser.go,file,16076
114814,IPv6Mreq,class,114651
82048,sendto,function,81226
16516,tomlParser,class,16510
16517,tomlParserStateFn,class,16510
16518,raiseError,function,16516
82056,recvmsg,function,81226
114824,Msghdr,class,114651
16523,run,function,16516
114828,Cmsghdr,class,114651
16526,peek,function,16516
82063,sendmsg,function,81226
114831,Inet6Pktinfo,class,114651
144,sprintLockUnsat,function,91
16529,assume,function,16516
114834,IPv6MTUInfo,class,114651
16533,getToken,function,16516
114836,ICMPv6Filter,class,114651
82070,InotifyInit,function,81226
151,github.com/golang/dep/cmd/dep/dep_test.go,file,90
152,TestMain,function,151
16537,parseStart,function,16516
82074,Ioperm,function,81226
16541,parseGroupArray,function,16516
82079,Iopl,function,81226
161,github.com/golang/dep/cmd/dep/doc.go,file,90
162,github.com/golang/dep/cmd/dep/ensure.go,file,90
82082,Gettimeofday,function,81226
82085,Time,function,81226
168,Name,function,192
171,Args,function,192
82090,Lstat,function,81226
16557,parseGroup,function,16516
114860,Kevent_t,class,114651
174,ShortHelp,function,192
82095,Fstat,function,81226
114862,FdSet,class,114651
177,LongHelp,function,192
82099,Stat,function,81226
180,Hidden,function,192
16565,parseAssign,function,16516
183,Register,function,192
82104,Utime,function,81226
82109,EpollWait,function,81226
192,ensureCommand,class,162
193,Run,function,192
114880,ifMsghdr,class,114651
16579,numberContainsInvalidUnderscore,function,16510
82117,Pause,function,81226
16582,hexNumberContainsInvalidUnderscore,function,16510
82119,pipe2,function,81226
114889,IfMsghdr,class,114651
16585,cleanupNumberToken,function,16510
82123,mmap2,function,81226
16589,parseRvalue,function,16516
208,validateFlags,function,192
211,vendorBehavior,function,192
82133,getrlimit,function,81226
214,runDefault,function,192
82137,setrlimit,function,81226
16602,tokenIsComma,function,16510
82141,poll,function,81226
16605,parseInlineTable,function,16516
114915,ifData,class,114651
16613,parseArray,function,16516
82148,github.com/golang/dep/vendor/golang.org/x/sys/unix/zsyscall_linux_ppc64.go,file,17309
82150,fchmodat,function,82148
233,runVendorOnly,function,192
16621,parseToml,function,16510
82156,ioctl,function,82148
82161,Linkat,function,82148
16626,init,function,16510
16627,github.com/golang/dep/vendor/github.com/pelletier/go-toml/position.go,file,16076
244,runUpdate,function,192
16630,Position,class,16627
