Import,main.mainfile,mainfile.go,mytype,mytype
Import,main.mainfile,mainfile.go,mymath,mymath
Extend,main.mainfile.Graph,Graph,main.mainfile.Shape,Shape
Parameter,main.mainfile.printRadiumOfCircle,printRadiumOfCircle,mytype.mystruct.Circle,Circle
Use,main.mainfile.printRadiumOfCircle,printRadiumOfCircle,main.mainfile.printRadiumOfCircle.cir,cir
Return,main.mainfile.generateASquare,generateASquare,mytype.mystruct.Square,Square
Use,main.mainfile.generateASquare,generateASquare,main.mainfile.generateASquare.sq,sq
Set,main.mainfile.generateASquare,generateASquare,main.mainfile.generateASquare.sq,sq
Call,main.mainfile.main,main,main.mainfile.generateASquare,generateASquare
Call,main.mainfile.main,main,main.mainfile.printRadiumOfCircle,printRadiumOfCircle
Use,main.mainfile.main,main,main.mainfile.main.square,square
Use,main.mainfile.main,main,main.mainfile.main.s,s
Use,main.mainfile.main,main,main.mainfile.main.tmpSquare,tmpSquare
Use,main.mainfile.main,main,main.mainfile.main.circle,circle
Set,main.mainfile.main,main,main.mainfile.main.square,square
Set,main.mainfile.main,main,main.mainfile.main.s,s
Set,main.mainfile.main,main,main.mainfile.main.tmpSquare,tmpSquare
Set,main.mainfile.main,main,main.mainfile.main.circle,circle
Use,mymath.math.Multiply,Multiply,mymath.math.Multiply.num1,num1
Use,mymath.math.Multiply,Multiply,mymath.math.Multiply.num2,num2
Import,mytype.mystruct,mystruct.go,mymath,mymath
Extend,mytype.mystruct.Circle,Circle,mytype.mystruct.Vertex2,Vertex2
Extend,mytype.mystruct.Square,Square,mytype.mystruct.Vertex2,Vertex2
Use,mytype.mystruct.Circle.Length,Length,mytype.mystruct.Circle.Length.c,c
Use,mytype.mystruct.Square.Length,Length,mytype.mystruct.Square.Length.s,s
