Id,Label,Type,Parent
32,Square,class,26
0,main,folder,-1
1,github.com/j123kaishichufa/goTestDemo/main/mainfile.go,file,0
3,Shape,class,1
35,Vertex2,class,26
36,Length,function,29
5,Graph,class,1
6,printRadiumOfCircle,function,1
39,Length,function,32
8,generateASquare,function,1
11,main,function,1
16,mymath,folder,-1
17,github.com/j123kaishichufa/goTestDemo/mymath/const.go,file,16
20,github.com/j123kaishichufa/goTestDemo/mymath/math.go,file,16
21,Multiply,function,20
25,mytype,folder,-1
26,github.com/j123kaishichufa/goTestDemo/mytype/mystruct.go,file,25
29,Circle,class,26
