Id,Label,Type,Parent
0,bufferpool,folder,-1
1,github.com/gohugoio/hugo/bufferpool/bufpool.go,file,0
16386,github.com/gohugoio/hugo/tpl/math/round.go,file,16245
3,GetBuffer,function,1
5,PutBuffer,function,1
8197,TestTableOfContents,function,8036
16390,_round,function,16386
7,github.com/gohugoio/hugo/bufferpool/bufpool_test.go,file,0
8,TestBufferPool,function,7
8203,TestPageWithMoreTag,function,8036
11,cache,folder,-1
12,github.com/gohugoio/hugo/cache/partitioned_lazy_cache.go,file,11
8207,TestPageWithMoreTagOnlySummary,function,8036
15,Partition,class,12
16399,os,folder,-1
16400,github.com/gohugoio/hugo/tpl/os/init.go,file,16399
16402,init,function,16400
8211,TestSummaryWithHTMLTagsOnNextLine,function,8036
20,Lazy,class,12
21,NewLazy,function,12
16406,github.com/gohugoio/hugo/tpl/os/init_test.go,file,16399
8215,TestPageWithDate,function,8036
16407,TestInit,function,16406
25,init,function,20
16411,github.com/gohugoio/hugo/tpl/os/os.go,file,16399
16412,New,function,16411
30,Get,function,20
8222,TestPageWithLastmodFromGitInfo,function,8036
16418,Namespace,class,16411
16419,Getenv,function,16418
8231,TestPageWithFrontMatterConfig,function,8036
39,PartitionedLazyCache,class,12
40,NewPartitionedLazyCache,function,12
16426,readFile,function,16411
45,Get,function,39
16435,ReadFile,function,16418
8247,TestWordCountWithAllCJKRunesWithoutHasCJKLanguage,function,8036
56,github.com/gohugoio/hugo/cache/partitioned_lazy_cache_test.go,file,11
57,TestNewPartitionedLazyCache,function,56
16442,ReadDir,function,16418
8251,TestWordCountWithAllCJKRunesHasCJKLanguage,function,8036
8256,TestWordCountWithMainEnglishWithCJKRunes,function,8036
66,TestConcurrentPartitionedLazyCache,function,56
16451,FileExists,function,16418
8261,TestWordCountWithIsCJKLanguageFalse,function,8036
8266,TestWordCount,function,8036
16460,github.com/gohugoio/hugo/tpl/os/os_test.go,file,16399
16461,TestReadFile,function,16460
77,commands,folder,-1
8270,TestCreatePage,function,8036
78,github.com/gohugoio/hugo/commands/benchmark.go,file,77
8275,TestDegenerateInvalidFrontMatterShortDelim,function,8036
16467,TestFileExists,function,16460
83,benchmarkCmd,class,78
84,newBenchmarkCmd,function,214
8280,TestShouldRenderContent,function,8036
89,benchmark,function,83
16475,partials,folder,-1
