Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\django\django\apps\config.py,135
1,Variable,MODELS_MODULE_NAME,0
2,Class,AppConfig,0
3,Function,__init__,2
7,Variable,name,2
8,Variable,module,2
9,Variable,apps,2
10,Variable,label,2
11,Variable,verbose_name,2
12,Variable,path,2
13,Variable,models_module,2
14,Variable,models,2
15,Function,__repr__,2
17,Function,_path_from_module,2
20,Variable,paths,17
21,Variable,filename,17
22,Function,create,2
25,Variable,module,22
26,Variable,mod_path,22
27,Variable,_,22
28,Variable,cls_name,22
29,Variable,mod,22
30,Variable,app_name,22
31,Variable,app_module,22
32,Function,get_model,2
36,Function,get_models,2
40,Function,import_models,2
42,Variable,models_module_name,40
43,Function,ready,2
45,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\django\django\apps\registry.py,135
46,Class,Apps,45
47,Function,__init__,46
50,Variable,all_models,46
51,Variable,app_configs,46
52,Variable,stored_app_configs,46
53,Variable,apps_ready,46
54,Variable,_lock,46
55,Variable,loading,46
56,Variable,_pending_operations,46
57,Function,populate,46
60,Variable,app_config,57
61,Variable,counts,57
62,Variable,duplicates,57
63,Function,check_apps_ready,46
65,Function,check_models_ready,46
67,Function,get_app_configs,46
69,Function,get_app_config,46
72,Variable,message,69
73,Function,get_models,46
77,Variable,result,73
78,Function,get_model,46
83,Variable,app_config,78
84,Function,register_model,46
88,Variable,model_name,84
89,Variable,app_models,84
90,Variable,app_modelsnull,84
91,Function,is_installed,46
94,Function,get_containing_app_config,46
97,Variable,candidates,94
98,Variable,subpath,94
99,Function,get_registered_model,46
103,Variable,model,99
104,Function,get_swappable_settings_name,46
107,Variable,swapped,104
108,Function,set_available_apps,46
111,Variable,installed,108
112,Function,unset_available_apps,46
114,Function,set_installed_apps,46
117,Function,unset_installed_apps,46
119,Function,clear_cache,46
121,Function,lazy_model_operation,46
125,Variable,next_model,121
126,Variable,more_models,121
127,Function,apply_next_model,121
129,Variable,model_class,121
130,Function,do_pending_operations,46
133,Variable,key,130
134,Variable,apps,45
135,Package,apps,43134
136,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\django\django\apps\__init__.py,135
137,Variable,__all__,136
138,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\django\django\bin\django-admin.py,-1
139,Function,__main__,138
140,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\django\django\conf\global_settings.py,1312
141,Function,gettext_noop,140
143,Variable,DEBUG,140
144,Variable,DEBUG_PROPAGATE_EXCEPTIONS,140
145,Variable,ADMINS,140
146,Variable,INTERNAL_IPS,140
147,Variable,ALLOWED_HOSTS,140
148,Variable,TIME_ZONE,140
149,Variable,USE_TZ,140
150,Variable,LANGUAGE_CODE,140
151,Variable,LANGUAGES,140
152,Variable,LANGUAGES_BIDI,140
153,Variable,USE_I18N,140
154,Variable,LOCALE_PATHS,140
155,Variable,LANGUAGE_COOKIE_NAME,140
156,Variable,LANGUAGE_COOKIE_AGE,140
157,Variable,LANGUAGE_COOKIE_DOMAIN,140
158,Variable,LANGUAGE_COOKIE_PATH,140
159,Variable,USE_L10N,140
160,Variable,MANAGERS,140
161,Variable,DEFAULT_CONTENT_TYPE,140
162,Variable,DEFAULT_CHARSET,140
163,Variable,FILE_CHARSET,140
164,Variable,SERVER_EMAIL,140
165,Variable,DATABASES,140
166,Variable,DATABASE_ROUTERS,140
167,Variable,EMAIL_BACKEND,140
168,Variable,EMAIL_HOST,140
169,Variable,EMAIL_PORT,140
170,Variable,EMAIL_USE_LOCALTIME,140
171,Variable,EMAIL_HOST_USER,140
172,Variable,EMAIL_HOST_PASSWORD,140
173,Variable,EMAIL_USE_TLS,140
174,Variable,EMAIL_USE_SSL,140
175,Variable,EMAIL_SSL_CERTFILE,140
