Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench.py,-1
1,Function,__main__,0
2,Variable,script,1
3,Variable,stats,1
4,Variable,p,1
5,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\bench_argcomplete.py,-1
6,Variable,imports,5
7,Variable,count,5
8,Variable,setup,5
9,Variable,run,5
10,Function,__main__,5
11,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\empty.py,-1
12,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\manyparam.py,-1
13,Function,foo,12
15,Function,test_it,12
17,Function,test_it2,12
19,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\bench\skip.py,-1
20,Variable,SKIP,19
21,Function,test_foo,19
23,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\doc\en\conf.py,-1
24,Variable,release,23
25,Variable,autodoc_member_order,23
26,Variable,todo_include_todos,23
27,Variable,extensions,23
28,Variable,templates_path,23
29,Variable,source_suffix,23
30,Variable,master_doc,23
31,Variable,project,23
32,Variable,year,23
33,Variable,copyright,23
34,Variable,exclude_patterns,23
35,Variable,add_module_names,23
36,Variable,pygments_style,23
37,Variable,html_theme_path,23
38,Variable,html_theme,23
39,Variable,html_theme_options,23
40,Variable,html_title,23
41,Variable,html_short_title,23
42,Variable,html_logo,23
43,Variable,html_favicon,23
44,Variable,html_sidebars,23
45,Variable,html_domain_indices,23
46,Variable,html_use_index,23
47,Variable,html_show_sourcelink,23
48,Variable,htmlhelp_basename,23
49,Variable,latex_documents,23
50,Variable,latex_logo,23
51,Variable,latex_domain_indices,23
52,Variable,man_pages,23
53,Variable,epub_title,23
54,Variable,epub_author,23
55,Variable,epub_publisher,23
56,Variable,epub_copyright,23
57,Variable,texinfo_documents,23
58,Variable,intersphinx_mapping,23
59,Function,setup,23
61,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\doc\en\conftest.py,-1
62,Variable,collect_ignore,61
63,File,C:\Users\wj86\Documents\gitrepo\python-workspace\pytest\doc\en\example\assertion\failure_demo.py,-1
64,Function,otherfunc,63
67,Function,somefunc,63
70,Function,otherfunc_multi,63
73,Function,test_generative,63
76,Function,pytest_generate_tests,63
78,Class,TestFailing,63
79,Function,test_simple,78
81,Function,f,79
82,Function,g,79
83,Function,test_simple_multiline,78
85,Function,test_not,78
87,Function,f,85
88,Function,__init__,78
89,Class,TestSpecialisedExplanations,63
90,Function,test_eq_text,89
92,Function,test_eq_similar_text,89
94,Function,test_eq_multiline_text,89
96,Function,test_eq_long_text,89
98,Variable,a,96
99,Variable,b,96
100,Function,test_eq_long_text_multiline,89
102,Variable,a,100
103,Variable,b,100
104,Function,test_eq_list,89
106,Function,test_eq_list_long,89
108,Variable,a,106
109,Variable,b,106
110,Function,test_eq_dict,89
112,Function,test_eq_set,89
114,Function,test_eq_longer_list,89
116,Function,test_in_list,89
118,Function,test_not_in_text_multiline,89
120,Variable,text,118
121,Function,test_not_in_text_single,89
123,Variable,text,121
124,Function,test_not_in_text_single_long,89
126,Variable,text,124
127,Function,test_not_in_text_single_long_term,89
129,Variable,text,127
130,Function,__init__,89
131,Function,test_attribute,63
132,Class,Foo,131
133,Variable,i,131
134,Function,test_attribute_instance,63
135,Class,Foo,134
136,Function,test_attribute_failure,63
137,Class,Foo,136
138,Variable,i,136
139,Function,test_attribute_multiple,63
140,Class,Foo,139
141,Class,Bar,139
142,Function,globf,63
144,Class,TestRaises,63
145,Function,test_raises,144
147,Variable,s,145
148,Function,test_raises_doesnt,144
150,Function,test_raise,144
152,Function,test_tupleerror,144
154,Variable,a,152
155,Variable,b,152
156,Function,test_reinterpret_fails_with_print_for_the_fun_of_it,144
158,Variable,items,156
159,Variable,a,156
160,Variable,b,156
161,Function,test_some_error,144
163,Function,func1,144
165,Function,__init__,144
166,Function,test_dynamic_compile_shows_nicely,63
167,Variable,src,166
168,Variable,name,166
169,Variable,module,166
170,Variable,code,166
171,Class,TestMoreErrors,63
