Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\cipher\cipher.py,20
1,Function,caesar_encode,0
4,Function,caesar_decode,0
7,Function,rot13,0
9,Function,_caesar_shift_char,0
12,Function,main,0
13,Function,__main__,0
14,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\cipher\cipher_test.py,20
15,Class,CipherTest,14
16,Function,testCipher,15
18,Function,__init__,15
19,Function,__main__,14
20,Package,cipher,130
21,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\cipher\__init__.py,20
22,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\diff\diff.py,74
23,Class,DiffLibWrapper,22
24,Function,__init__,23
28,Variable,_fromfile,23
29,Variable,_tofile,23
30,Variable,fromdate,23
31,Variable,todate,23
32,Variable,fromlines,23
33,Variable,tolines,23
34,Function,unified_diff,23
37,Function,ndiff,23
39,Function,make_file,23
43,Function,context_diff,23
46,Function,main,22
47,Function,__main__,22
48,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\diff\difffull.py,74
49,Function,main,48
50,Function,__main__,48
51,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\diff\diff_test.py,74
52,Class,DiffTest,51
53,Function,setUp,52
55,Function,testSetUp,52
57,Function,testUnifiedDiff,52
59,Variable,results,57
60,Function,testContextDiff,52
62,Variable,expected_lines,60
63,Variable,results,60
64,Function,testNDiff,52
66,Variable,expected_lines,64
67,Variable,results,64
68,Function,testMakeDiff,52
70,Function,testDiffFull,52
72,Function,__init__,52
73,Function,__main__,51
74,Package,diff,130
75,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\diff\__init__.py,74
76,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\identity\identity.py,82
77,Function,identity,76
79,Function,main,76
81,Function,__main__,76
82,Package,identity,130
83,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\identity\__init__.py,82
84,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\widget\collector.py,128
85,Class,Collector,84
86,Function,__init__,85
88,Variable,widget,85
89,Variable,desired_widget_count,85
90,Function,collect_widgets,85
92,Function,main,84
93,Function,__main__,84
94,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\widget\collector_test.py,128
95,Class,CollectorTest,94
96,Function,testCollectorHasWidget,95
98,Variable,col,96
99,Function,testCollectorWantsMoreWidgets,95
101,Variable,col,99
102,Function,testCollectorGetsWantedWidgets,95
104,Variable,col,102
105,Function,__init__,95
106,Function,__main__,94
107,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\widget\widget.py,128
108,Class,Widget,107
109,Function,whack,108
112,Function,bang,108
115,Function,__init__,108
116,Function,main,107
117,Function,__main__,107
118,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\widget\widget_test.py,128
119,Class,WidgetTest,118
120,Function,testWidgetWhack,119
122,Variable,toy,120
123,Function,testWidgetBang,119
125,Variable,toy,123
126,Function,__init__,119
127,Function,__main__,118
128,Package,widget,130
129,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\widget\__init__.py,128
130,Package,examples,-1
131,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\examples\__init__.py,130
132,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\fire\completion.py,1351
133,Function,Script,132
138,Function,_BashScript,132
142,Variable,options_map,138
143,Variable,start,138
144,Variable,completion,138
145,Variable,bash_completion_template,138
146,Variable,start_check_template,138
147,Variable,start_checks,138
148,Function,_FishScript,132
152,Variable,options_map,148
153,Variable,start,148
154,Variable,completion,148
155,Variable,fish_source,148
156,Variable,subcommand_template,148
157,Variable,flag_template,148
158,Function,_IncludeMember,132
161,Function,_Members,132
164,Variable,members,161
165,Function,_CompletionsFromArgs,132
167,Variable,completions,165
168,Variable,arg,165
169,Function,Completions,132
172,Variable,spec,169
173,Function,_FormatForCommand,132
175,Function,_Commands,132
178,Variable,member_name,175
179,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\fire\completion_test.py,1351
180,Class,TabCompletionTest,179
181,Function,testCompletionBashScript,180
183,Variable,commands,181
184,Variable,script,181
185,Function,testCompletionFishScript,180
187,Variable,commands,185
188,Variable,script,185
189,Function,testFnCompletions,180
191,Function,example,189
195,Variable,completions,189
196,Function,testListCompletions,180
198,Variable,completions,196
199,Function,testDictCompletions,180
201,Variable,colors,199
202,Variable,completions,199
203,Function,testDictCompletionsVerbose,180
205,Variable,colors,203
206,Variable,completions,203
207,Function,testDeepDictCompletions,180
209,Variable,deepdict,207
210,Variable,completions,207
211,Function,testDeepDictScript,180
213,Variable,deepdict,211
214,Variable,script,211
215,Function,testFnScript,180
217,Variable,script,215
218,Function,testClassScript,180
220,Variable,script,218
221,Function,testDeepDictFishScript,180
223,Variable,deepdict,221
224,Variable,script,221
225,Function,testFnFishScript,180
227,Variable,script,225
228,Function,testClassFishScript,180
230,Variable,script,228
231,Function,testNonStringDictCompletions,180
233,Variable,completions,231
234,Function,testGeneratorCompletions,180
236,Function,generator,234
237,Variable,completions,234
238,Function,testClassCompletions,180
240,Variable,completions,238
241,Function,testObjectCompletions,180
243,Variable,completions,241
244,Function,testMethodCompletions,180
246,Variable,completions,244
247,Function,__init__,180
248,Function,__main__,179
249,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-fire\fire\core.py,1351
250,Function,Fire,249
254,Variable,args,250
255,Variable,caller,250
256,Variable,caller_frame,250
257,Variable,caller_globals,250
258,Variable,caller_locals,250
259,Variable,context,250
260,Variable,component_trace,250
261,Variable,result,250
262,Function,CompletionScript,249
266,Class,FireError,249
267,Function,__init__,266
268,Class,FireExit,249
269,Function,__init__,268
273,Variable,trace,268
274,Function,_IsHelpShortcut,249
277,Variable,show_help,274
278,Variable,target,274
279,Variable,component,274
280,Variable,fn_spec,274
281,Variable,_,274
282,Variable,remaining_kwargs,274
283,Variable,members,274
284,Variable,command,274
285,Function,_PrintResult,249
288,Variable,result,285
289,Function,_DictAsString,249
292,Variable,result_visible,289
293,Variable,longest_key,289
294,Variable,format_string,289
295,Variable,lines,289
296,Variable,line,289
297,Function,_ComponentVisible,249
300,Function,_OneLineResult,249
302,Function,_Fire,249
307,Variable,flag_args,302
308,Variable,argparser,302
309,Variable,parsed_flag_args,302
310,Variable,unused_args,302
311,Variable,verbose,302
312,Variable,interactive,302
313,Variable,separator,302
314,Variable,show_completion,302
315,Variable,show_help,302
316,Variable,show_trace,302
317,Variable,initial_component,302
318,Variable,component_trace,302
319,Variable,instance,302
320,Variable,remaining_args,302
321,Variable,last_component,302
322,Variable,initial_args,302
323,Variable,saved_args,302
324,Variable,used_separator,302
325,Variable,separator_index,302
326,Variable,isclass,302
327,Variable,arg,302
328,Variable,index,302
329,Variable,error,302
330,Variable,filename,302
331,Variable,lineno,302
332,Variable,target,302
333,Variable,found_target,302
334,Variable,consumed_args,302
335,Variable,script,302
336,Variable,variables,302
337,Variable,variablesnull,302
338,Function,_GetMember,249
341,Variable,members,338
342,Variable,arg,338
343,Variable,arg_names,338
344,Function,_CallAndUpdateTrace,249
350,Variable,filename,344
351,Variable,lineno,344
352,Variable,consumed_args,344
353,Variable,remaining_args,344
354,Variable,capacity,344
355,Variable,action,344
356,Function,_CallCallable,249
359,Variable,parse,356
360,Variable,consumed_args,356
361,Variable,remaining_args,356
362,Variable,capacity,356
363,Variable,result,356
364,Function,_MakeParseFn,249
366,Variable,fn_spec,364
367,Variable,metadata,364
368,Variable,num_required_args,364
369,Variable,required_kwonly,364
370,Function,_ParseFn,364
372,Function,_ParseArgs,249
379,Variable,accepts_positional_args,372
380,Variable,capacity,372
381,Variable,parsed_args,372
382,Variable,value,372
383,Variable,default_index,372
384,Variable,kwargsnull,372
385,Function,_ParseKeywordArgs,249
388,Variable,kwargs,385
389,Variable,remaining_kwargs,385
390,Variable,remaining_args,385
391,Variable,fn_keywords,385
392,Variable,fn_args,385
393,Variable,skip_argument,385
394,Variable,arg_consumed,385
395,Variable,got_argument,385
396,Variable,keyword,385
397,Variable,contains_equals,385
398,Variable,is_bool_syntax,385
399,Variable,value,385
400,Variable,kwargsnull,385
401,Function,_ParseValue,249
406,Variable,parse_fn,401
407,Variable,parse_fns,401
