Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\catalog.py,585
1,Variable,__author__,0
2,Class,Catalog,0
3,Function,__init__,2
6,Variable,_static_method_choices,2
7,Variable,param,2
8,Function,_static_method_1,2
9,Function,_static_method_2,2
10,Function,main_method,2
12,Class,CatalogInstance,0
13,Function,__init__,12
16,Variable,x1,12
17,Variable,x2,12
18,Variable,param,12
19,Function,_instance_method_1,12
21,Function,_instance_method_2,12
23,Variable,_instance_method_choices,12
24,Function,main_method,12
26,Class,CatalogClass,0
27,Variable,x1,26
28,Variable,x2,26
29,Function,__init__,26
32,Variable,param,26
33,Function,_class_method_1,26
35,Function,_class_method_2,26
37,Variable,_class_method_choices,26
38,Function,main_method,26
40,Class,CatalogStatic,0
41,Function,__init__,40
44,Variable,param,40
45,Function,_static_method_1,40
46,Function,_static_method_2,40
47,Variable,_static_method_choices,40
48,Function,main_method,40
50,Function,main,0
51,Variable,test,50
52,Function,__main__,0
53,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,585
54,Class,Handler,53
55,Variable,__metaclass__,54
56,Function,__init__,54
59,Variable,_successor,54
60,Function,handle,54
63,Variable,res,60
64,Function,_handle,54
67,Class,ConcreteHandler1,53
68,Function,_handle,67
71,Function,__init__,67
72,Class,ConcreteHandler2,53
73,Function,_handle,72
76,Function,__init__,72
77,Class,ConcreteHandler3,53
78,Function,_handle,77
81,Function,__init__,77
82,Class,DefaultHandler,53
83,Function,_handle,82
86,Function,__init__,82
87,Class,Client,53
88,Function,__init__,87
90,Variable,handler,87
91,Function,delegate,87
94,Function,coroutine,53
96,Function,start,94
99,Function,coroutine1,53
101,Variable,request,99
102,Function,coroutine2,53
104,Variable,request,102
105,Function,coroutine3,53
107,Variable,request,105
108,Function,default_coroutine,53
109,Variable,request,108
110,Class,ClientCoroutine,53
111,Function,__init__,110
113,Variable,target,110
114,Function,delegate,110
117,Function,timeit,53
119,Function,count,117
122,Function,suppress_stdout,53
123,Variable,stdout,122
124,Function,__main__,53
125,Variable,client1,124
126,Variable,client2,124
127,Variable,requests,124
128,Variable,client1_delegate,124
129,Variable,client2_delegate,124
130,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chaining_method.py,585
131,Class,Person,130
132,Function,__init__,131
136,Variable,name,131
137,Variable,action,131
138,Function,do_action,131
140,Class,Action,130
141,Function,__init__,140
144,Variable,name,140
145,Function,amount,140
148,Function,stop,140
150,Function,__main__,130
151,Variable,move,150
152,Variable,person,150
153,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\command.py,585
154,Class,MoveFileCommand,153
155,Function,__init__,154
159,Variable,src,154
160,Variable,dest,154
161,Function,execute,154
163,Function,undo,154
165,Function,rename,154
169,Function,main,153
170,Variable,command_stack,169
171,Function,__main__,153
172,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\iterator.py,585
173,Function,count_to,172
175,Variable,numbers,173
176,Variable,count_to_two,172
177,Variable,count_to_five,172
178,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\mediator.py,585
179,Class,TC,178
180,Function,__init__,179
182,Variable,_tm,179
183,Variable,_bProblem,179
184,Function,setup,179
186,Function,execute,179
188,Function,tearDown,179
190,Function,setTM,179
193,Function,setProblem,179
196,Class,Reporter,178
197,Function,__init__,196
199,Variable,_tm,196
200,Function,prepare,196
202,Function,report,196
204,Function,setTM,196
207,Class,DB,178
208,Function,__init__,207
210,Variable,_tm,207
211,Function,insert,207
213,Function,update,207
215,Function,setTM,207
218,Class,TestManager,178
219,Function,__init__,218
221,Variable,_reporter,218
222,Variable,_db,218
223,Variable,_tc,218
224,Function,prepareReporting,218
226,Variable,rvalue,224
227,Function,setReporter,218
230,Function,setDB,218
233,Function,publishReport,218
235,Function,setTC,218
238,Function,__main__,178
239,Variable,reporter,238
240,Variable,db,238
241,Variable,tm,238
242,Variable,tc,238
243,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\memento.py,585
244,Function,memento,243
247,Variable,state,244
248,Function,restore,244
249,Class,Transaction,243
250,Variable,deep,249
251,Variable,states,249
252,Function,__init__,249
256,Variable,deep,249
257,Variable,targets,249
258,Function,commit,249
260,Function,rollback,249
262,Class,Transactional,243
263,Function,__init__,262
266,Variable,method,262
267,Function,__get__,262
271,Function,transaction,267
274,Class,NumObj,243
275,Function,__init__,274
278,Variable,value,274
279,Function,__repr__,274
281,Function,increment,274
283,Function,do_stuff,274
285,Function,__main__,243
286,Variable,num_obj,285
287,Variable,a_transaction,285
288,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\observer.py,585
289,Class,Subject,288
290,Function,__init__,289
292,Variable,_observers,289
293,Function,attach,289
296,Function,detach,289
299,Function,notify,289
302,Class,Data,288
303,Function,__init__,302
306,Variable,name,302
307,Variable,_data,302
308,Function,data,302
310,Function,data,302
313,Class,HexViewer,288
314,Function,update,313
317,Function,__init__,313
318,Class,DecimalViewer,288
319,Function,update,318
322,Function,__init__,318
323,Function,main,288
324,Variable,data1,323
325,Variable,data2,323
326,Variable,view1,323
327,Variable,view2,323
328,Function,__main__,288
329,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\publish_subscribe.py,585
330,Class,Provider,329
331,Function,__init__,330
333,Variable,msg_queue,330
334,Variable,subscribers,330
335,Function,notify,330
338,Function,subscribe,330
342,Function,unsubscribe,330
346,Function,update,330
348,Class,Publisher,329
349,Function,__init__,348
352,Variable,provider,348
353,Function,publish,348
356,Class,Subscriber,329
357,Function,__init__,356
361,Variable,name,356
362,Variable,provider,356
363,Function,subscribe,356
366,Function,unsubscribe,356
369,Function,run,356
372,Function,main,329
373,Variable,message_center,372
374,Variable,fftv,372
375,Variable,jim,372
376,Variable,jack,372
377,Variable,gee,372
378,Variable,vani,372
379,Function,__main__,329
380,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\registry.py,585
381,Class,RegistryHolder,380
382,Variable,REGISTRY,381
383,Function,__new__,381
388,Variable,new_cls,383
389,Function,get_registry,381
391,Function,__init__,381
392,Class,BaseRegisteredClass,380
393,Variable,__metaclass__,392
394,Function,__init__,392
395,Function,__main__,380
396,Class,ClassRegistree,395
397,File,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\specification.py,585
398,Class,Specification,397
399,Function,and_specification,398
402,Function,or_specification,398
405,Function,not_specification,398
407,Function,is_satisfied_by,398
410,Function,__init__,398
411,Class,CompositeSpecification,397
412,Function,is_satisfied_by,411
415,Function,and_specification,411
418,Function,or_specification,411
421,Function,not_specification,411
423,Function,__init__,411
424,Class,AndSpecification,397
425,Variable,_one,424
426,Variable,_other,424
427,Function,__init__,424
431,Variable,_one,424
432,Variable,_other,424
433,Function,is_satisfied_by,424
436,Class,OrSpecification,397
437,Variable,_one,436
438,Variable,_other,436
439,Function,__init__,436
443,Variable,_one,436
444,Variable,_other,436
445,Function,is_satisfied_by,436
448,Class,NotSpecification,397
449,Variable,_wrapped,448
450,Function,__init__,448
453,Variable,_wrapped,448
454,Function,is_satisfied_by,448
457,Class,User,397
458,Function,__init__,457
461,Variable,super_user,457
462,Class,UserSpecification,397
463,Function,is_satisfied_by,462
466,Function,__init__,462
467,Class,SuperUserSpecification,397
468,Function,is_satisfied_by,467
471,Function,__init__,467
472,Function,__main__,397
473,Variable,andrey,472
474,Variable,ivan,472
475,Variable,vasiliy,472
476,Variable,root_specification,472
