Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\conftest.py,conftest.py,conftest._py_files,_py_files
Use,conftest._py_files,_py_files,folder,folder
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\docs\conf.py,conf.py,scrapy,scrapy
Call,scrapydocs.SettingsListDirective.run,run,scrapydocs.settingslist_node,settingslist_node
Use,scrapydocs.is_setting_index,is_setting_index,scrapydocs.is_setting_index.entry_type,entry_type
Set,scrapydocs.is_setting_index,is_setting_index,scrapydocs.is_setting_index.entry_type,entry_type
Set,scrapydocs.is_setting_index,is_setting_index,scrapydocs.is_setting_index.info,info
Set,scrapydocs.is_setting_index,is_setting_index,scrapydocs.is_setting_index.refid,refid
Use,scrapydocs.get_setting_target,get_setting_target,node,node
Use,scrapydocs.get_setting_name_and_refid,get_setting_name_and_refid,scrapydocs.get_setting_name_and_refid.refid,refid
Set,scrapydocs.get_setting_name_and_refid,get_setting_name_and_refid,scrapydocs.get_setting_name_and_refid.entry_type,entry_type
Set,scrapydocs.get_setting_name_and_refid,get_setting_name_and_refid,scrapydocs.get_setting_name_and_refid.info,info
Set,scrapydocs.get_setting_name_and_refid,get_setting_name_and_refid,scrapydocs.get_setting_name_and_refid.refid,refid
Call,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.get_setting_target,get_setting_target
Call,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.get_setting_name_and_refid,get_setting_name_and_refid
Use,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.env,env
Use,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.is_setting_index,is_setting_index
Use,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.targetnode,targetnode
Use,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.setting_name,setting_name
Use,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.refid,refid
Set,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.env,env
Set,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.targetnode,targetnode
Set,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.setting_name,setting_name
Set,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs,scrapydocs.collect_scrapy_settings_refs.refid,refid
Use,scrapydocs.make_setting_element,make_setting_element,fromdocname,fromdocname
Use,scrapydocs.make_setting_element,make_setting_element,scrapydocs.make_setting_element.refnode,refnode
Use,scrapydocs.make_setting_element,make_setting_element,scrapydocs.make_setting_element.p,p
Use,scrapydocs.make_setting_element,make_setting_element,scrapydocs.make_setting_element.item,item
Set,scrapydocs.make_setting_element,make_setting_element,scrapydocs.make_setting_element.refnode,refnode
Set,scrapydocs.make_setting_element,make_setting_element,scrapydocs.make_setting_element.p,p
Set,scrapydocs.make_setting_element,make_setting_element,scrapydocs.make_setting_element.item,item
Call,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,scrapydocs.make_setting_element,make_setting_element
Use,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,scrapydocs.settingslist_node,settingslist_node
Use,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,app,app
Use,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,fromdocname,fromdocname
Use,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,scrapydocs.replace_settingslist_nodes.settings_list,settings_list
Set,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,scrapydocs.replace_settingslist_nodes.env,env
Set,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes,scrapydocs.replace_settingslist_nodes.settings_list,settings_list
Use,scrapydocs.setup,setup,scrapydocs.commit_role,commit_role
Use,scrapydocs.setup,setup,scrapydocs.settingslist_node,settingslist_node
Use,scrapydocs.setup,setup,scrapydocs.replace_settingslist_nodes,replace_settingslist_nodes
Use,scrapydocs.setup,setup,scrapydocs.issue_role,issue_role
Use,scrapydocs.setup,setup,scrapydocs.SettingsListDirective,SettingsListDirective
Use,scrapydocs.setup,setup,scrapydocs.collect_scrapy_settings_refs,collect_scrapy_settings_refs
Use,scrapydocs.setup,setup,scrapydocs.rev_role,rev_role
Use,scrapydocs.setup,setup,scrapydocs.source_role,source_role
Use,scrapydocs.source_role,source_role,options,options
Use,scrapydocs.source_role,source_role,scrapydocs.source_role.ref,ref
Use,scrapydocs.source_role,source_role,scrapydocs.source_role.node,node
Use,scrapydocs.source_role,source_role,rawtext,rawtext
Use,scrapydocs.source_role,source_role,text,text
Set,scrapydocs.source_role,source_role,scrapydocs.source_role.ref,ref
Set,scrapydocs.source_role,source_role,scrapydocs.source_role.node,node
Use,scrapydocs.issue_role,issue_role,rawtext,rawtext
Use,scrapydocs.issue_role,issue_role,text,text
Use,scrapydocs.issue_role,issue_role,options,options
Use,scrapydocs.issue_role,issue_role,scrapydocs.issue_role.ref,ref
Use,scrapydocs.issue_role,issue_role,scrapydocs.issue_role.node,node
Set,scrapydocs.issue_role,issue_role,scrapydocs.issue_role.ref,ref
Set,scrapydocs.issue_role,issue_role,scrapydocs.issue_role.node,node
Use,scrapydocs.commit_role,commit_role,rawtext,rawtext
Use,scrapydocs.commit_role,commit_role,text,text
Use,scrapydocs.commit_role,commit_role,options,options
Use,scrapydocs.commit_role,commit_role,scrapydocs.commit_role.ref,ref
Use,scrapydocs.commit_role,commit_role,scrapydocs.commit_role.node,node
Set,scrapydocs.commit_role,commit_role,scrapydocs.commit_role.ref,ref
Set,scrapydocs.commit_role,commit_role,scrapydocs.commit_role.node,node
Use,scrapydocs.rev_role,rev_role,options,options
Use,scrapydocs.rev_role,rev_role,scrapydocs.rev_role.ref,ref
Use,scrapydocs.rev_role,rev_role,scrapydocs.rev_role.node,node
Use,scrapydocs.rev_role,rev_role,rawtext,rawtext
