Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\conftest.py,-1
1,Function,_py_files,0
3,Variable,collect_ignore,0
4,Variable,file_path,0
5,Function,chdir,0
7,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\docs\conf.py,-1
8,Variable,extensions,7
9,Variable,templates_path,7
10,Variable,source_suffix,7
11,Variable,master_doc,7
12,Variable,project,7
13,Variable,copyright,7
14,Variable,version,7
15,Variable,release,7
16,Variable,language,7
17,Variable,exclude_trees,7
18,Variable,pygments_style,7
19,Variable,html_theme,7
20,Variable,html_theme_path,7
21,Variable,html_static_path,7
22,Variable,html_last_updated_fmt,7
23,Variable,html_copy_source,7
24,Variable,htmlhelp_basename,7
25,Variable,latex_documents,7
26,Variable,linkcheck_ignore,7
27,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\docs\utils\linkfix.py,-1
28,Variable,_filename,27
29,Variable,_contents,27
30,Variable,line_re,27
31,Variable,output_lines,27
32,Variable,match,27
33,Variable,newfilename,27
34,Variable,errortype,27
35,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\docs\_ext\scrapydocs.py,-1
36,Class,settingslist_node,35
37,Function,__init__,36
38,Class,SettingsListDirective,35
39,Function,run,38
41,Function,__init__,38
42,Function,is_setting_index,35
44,Variable,entry_type,42
45,Variable,info,42
46,Variable,refid,42
47,Function,get_setting_target,35
49,Function,get_setting_name_and_refid,35
51,Variable,entry_type,49
52,Variable,info,49
53,Variable,refid,49
54,Function,collect_scrapy_settings_refs,35
57,Variable,env,54
58,Variable,targetnode,54
59,Variable,setting_name,54
60,Variable,refid,54
61,Function,make_setting_element,35
65,Variable,refnode,61
66,Variable,p,61
67,Variable,item,61
68,Function,replace_settingslist_nodes,35
72,Variable,env,68
73,Variable,settings_list,68
74,Function,setup,35
76,Function,source_role,35
84,Variable,ref,76
85,Variable,node,76
86,Function,issue_role,35
94,Variable,ref,86
95,Variable,node,86
96,Function,commit_role,35
104,Variable,ref,96
105,Variable,node,96
106,Function,rev_role,35
114,Variable,ref,106
115,Variable,node,106
116,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\extras\qps-bench-server.py,-1
117,Class,Root,116
118,Function,__init__,117
120,Variable,concurrent,117
121,Variable,tail,117
122,Function,_reset_stats,117
124,Function,getChild,117
128,Function,render,117
131,Variable,now,128
132,Variable,delta,128
133,Variable,qps,128
134,Variable,latency,128
135,Function,_finish,117
138,Variable,root,116
139,Variable,factory,116
140,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\extras\qpsclient.py,-1
141,Class,QPSSpider,140
142,Variable,name,141
143,Variable,benchurl,141
144,Variable,max_concurrent_requests,141
145,Variable,qps,141
146,Variable,download_delay,141
147,Variable,latency,141
148,Variable,slots,141
149,Function,__init__,141
153,Variable,qps,141
154,Variable,download_delay,141
155,Variable,download_delay,141
156,Function,start_requests,141
158,Variable,url,156
159,Variable,slots,156
160,Variable,urls,156
161,Variable,idx,156
162,Function,parse,141
165,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\scrapy\scrapy\cmdline.py,7181
166,Function,_iter_command_classes,165
168,Function,_get_commands_from_module,165
171,Variable,d,168
172,Variable,cmdname,168
173,Variable,dnull,168
174,Function,_get_commands_from_entry_points,165
177,Variable,cmds,174
178,Variable,obj,174
179,Variable,cmdsnull,174
180,Function,_get_commands_dict,165
183,Variable,cmds,180
184,Variable,cmds_module,180
185,Function,_pop_command_name,165
