Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\asserts.py,1262
1,Class,AssertTransformer,0
2,Function,visit_Assert,1
5,Variable,template,2
6,Function,__init__,1
7,Function,transform,0
10,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\asserts_test.py,1262
11,Class,AssertsTest,10
12,Function,test_transform,11
14,Function,test_fn,12
16,Variable,node,12
17,Variable,ctx,12
18,Function,__init__,11
19,Function,__main__,10
20,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\break_statements.py,1262
21,Class,_Break,20
22,Function,__init__,21
24,Variable,used,21
25,Variable,control_var_name,21
26,Function,__repr__,21
28,Class,BreakTransformer,20
29,Function,visit_Break,28
32,Variable,var_name,29
33,Variable,template,29
34,Function,_guard_if_present,28
38,Variable,template,34
39,Variable,node,34
40,Function,_process_body,28
44,Variable,break_used,40
45,Function,visit_While,28
48,Variable,scope,45
49,Variable,break_var,45
50,Variable,break_used,45
51,Variable,guarded_orelse,45
52,Variable,template,45
53,Function,visit_For,28
56,Variable,scope,53
57,Variable,break_var,53
58,Variable,break_used,53
59,Variable,guarded_orelse,53
60,Variable,extra_test,53
61,Variable,template,53
62,Function,__init__,28
63,Function,transform,20
66,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\break_statements_test.py,1262
67,Class,BreakCanonicalizationTest,66
68,Function,assertTransformedEquivalent,67
72,Function,test_while_loop,67
74,Function,test_fn,72
76,Function,test_for_loop,67
78,Function,test_fn,76
80,Function,test_nested,67
82,Function,test_fn,80
84,Function,test_nested_loops,67
86,Function,test_fn,84
88,Function,test_loop_orelse,67
90,Function,test_fn,88
92,Function,__init__,67
93,Function,__main__,66
94,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\builtin_functions.py,1262
95,Class,BuiltinFunctionTransformer,94
96,Function,_convert_builtin,95
101,Variable,template,96
102,Function,visit_Call,95
105,Variable,live_val,102
106,Function,visit_Print,95
109,Variable,args,106
110,Function,__init__,95
111,Function,transform,94
114,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\builtin_functions_test.py,1262
115,Class,BuiltinFunctionsTest,114
116,Function,test_len,115
118,Function,test_fn,116
120,Variable,p,116
121,Variable,ops,116
122,Function,test_print,115
124,Function,test_fn,122
126,Function,test_print_multiple_values,115
128,Function,test_fn,126
132,Function,__init__,115
133,Function,__main__,114
134,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\tensorflow\tensorflow\python\autograph\converters\call_trees.py,1262
135,Class,FunctionInfo,134
136,Function,__init__,135
137,Variable,KNOWN_NUMPY_FUNCTIONS,134
138,Class,FunctionNamer,134
