Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\stdlib_tests\test_chunk.py,test_chunk.py,test_chunk.fake_file,fake_file
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\stdlib_tests\test_types.py,test_types.py,voc.python.types,types
Call,binary-trees.make_tree,make_tree,binary-trees.make_tree,make_tree
Call,binary-trees.make_tree,make_tree,binary-trees.make_tree,make_tree
Use,binary-trees.make_tree,make_tree,i,i
Use,binary-trees.make_tree,make_tree,d,d
Use,binary-trees.make_tree,make_tree,binary-trees.make_tree.i2,i2
Set,binary-trees.make_tree,make_tree,d,d
Set,binary-trees.make_tree,make_tree,binary-trees.make_tree.i2,i2
Call,binary-trees.check_tree,check_tree,binary-trees.check_tree,check_tree
Call,binary-trees.check_tree,check_tree,binary-trees.check_tree,check_tree
Use,binary-trees.check_tree,check_tree,node,node
Call,binary-trees.make_check,make_check,make,make
Call,binary-trees.make_check,make_check,check,check
Use,binary-trees.make_check,make_check,itde,itde
Use,binary-trees.make_check,make_check,binary-trees.make_check.i,i
Use,binary-trees.make_check,make_check,binary-trees.make_check.d,d
Set,binary-trees.make_check,make_check,binary-trees.make_check.i,i
Set,binary-trees.make_check,make_check,binary-trees.make_check.d,d
Use,binary-trees.get_argchunks,get_argchunks,i,i
Use,binary-trees.get_argchunks,get_argchunks,d,d
Use,binary-trees.get_argchunks,get_argchunks,chunksize,chunksize
Use,binary-trees.get_argchunks,get_argchunks,binary-trees.get_argchunks.chunk,chunk
Set,binary-trees.get_argchunks,get_argchunks,binary-trees.get_argchunks.chunk,chunk
Call,binary-trees.main,main,binary-trees.make_check,make_check
Call,binary-trees.main,main,binary-trees.make_tree,make_tree
Call,binary-trees.main,main,binary-trees.get_argchunks,get_argchunks
Call,binary-trees.main,main,binary-trees.check_tree,check_tree
Use,binary-trees.main,main,binary-trees.main.max_depth,max_depth
Use,binary-trees.main,main,binary-trees.main.stretch_depth,stretch_depth
Use,binary-trees.main,main,binary-trees.main.long_lived_tree,long_lived_tree
Use,binary-trees.main,main,binary-trees.make_check,make_check
Use,binary-trees.main,main,binary-trees.main.mmd,mmd
Use,binary-trees.main,main,binary-trees.main.i,i
Use,binary-trees.main,main,binary-trees.main.cs,cs
Use,binary-trees.main,main,n,n
Use,binary-trees.main,main,min_depth,min_depth
Set,binary-trees.main,main,binary-trees.main.max_depth,max_depth
Set,binary-trees.main,main,binary-trees.main.stretch_depth,stretch_depth
Set,binary-trees.main,main,binary-trees.main.long_lived_tree,long_lived_tree
Set,binary-trees.main,main,binary-trees.main.mmd,mmd
Set,binary-trees.main,main,binary-trees.main.i,i
Set,binary-trees.main,main,binary-trees.main.cs,cs
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\binary-trees.py,binary-trees.py,binary-trees.main,main
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Call,call_simple.foo,foo,call_simple.bar,bar
Use,call_simple.foo,foo,a,a
Use,call_simple.foo,foo,b,b
Use,call_simple.foo,foo,c,c
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Call,call_simple.bar,bar,call_simple.baz,baz
Use,call_simple.bar,bar,a,a
Use,call_simple.bar,bar,b,b
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Call,call_simple.baz,baz,call_simple.quux,quux
Use,call_simple.baz,baz,a,a
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
Call,call_simple.quux,quux,call_simple.qux,qux
