Id,type,label,Parent
0,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\docs\conf.py,-1
1,Variable,extensions,0
2,Variable,templates_path,0
3,Variable,source_suffix,0
4,Variable,master_doc,0
5,Variable,project,0
6,Variable,copyright,0
7,Variable,version_match,0
8,Variable,release,0
9,Variable,version,0
10,Variable,autoclass_content,0
11,Variable,exclude_patterns,0
12,Variable,pygments_style,0
13,Variable,on_rtd,0
14,Variable,html_theme,0
15,Variable,html_theme_path,0
16,Variable,html_logo,0
17,Variable,html_static_path,0
18,Variable,htmlhelp_basename,0
19,Variable,latex_elements,0
20,Variable,latex_documents,0
21,Variable,man_pages,0
22,Variable,texinfo_documents,0
23,Variable,spelling_lang,0
24,Variable,spelling_word_list_filename,0
25,Variable,spelling_ignore_pypi_package_names,0
26,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\setup.py,-1
27,Variable,version_match,26
28,Variable,version,26
29,Variable,long_description,26
30,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_argparse.py,-1
31,Variable,parser,30
32,Variable,args,30
33,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_base64.py,-1
34,Variable,encoded_data,33
35,Variable,decoded_data,33
36,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_bisect.py,-1
37,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_calendar.py,-1
38,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_chunk.py,-1
39,Class,fake_file,38
40,Function,read,39
43,Function,__init__,39
44,Variable,testChunk,38
45,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_colorsys.py,-1
46,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_datetime.py,-1
47,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_decimal.py,-1
48,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_ipaddress.py,-1
49,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_itertools.py,-1
50,File,C:\Users\wj86\Documents\gitrepo\ENRE\..\python-workspace\voc\stdlib_tests\test_json.py,-1
